ID,date_time,lat,lon,depth(km),magnitude,origin
18091031,2018-01-22T014643.62,43.1723,11.0497,8.5,ML1.3,4 km W Chiusdino (SI)
18091111,2018-01-22T014959.26,43.1715,11.0487,10,ML1.2,4 km W Chiusdino (SI)
18091091,2018-01-22T015026.08,43.0603,13.0342,10.2,ML1.1,2 km NW Pieve Torina (MC)
18091171,2018-01-22T015605.75,42.5817,13.2023,11.4,ML2.3,5 km SE Cittareale (RI)
18091311,2018-01-22T022517.52,42.7253,13.1832,9.9,ML1.5,6 km NW Accumoli (RI)
18091361,2018-01-22T025718.08,43.0975,13.7373,10,ML2.2,1 km N Moresco (FM)
18091391,2018-01-22T030212.13,42.7922,13.2138,10.1,ML1.1,7 km W Arquata del Tronto (AP)
18091431,2018-01-22T031255.06,42.7142,13.2998,14.7,ML1.3,5 km E Accumoli (RI)
18091671,2018-01-22T051312.09,42.6462,13.295,10.9,ML1.8,2 km N Amatrice (RI)
18091801,2018-01-22T055730.59,43.1102,13.0042,10.8,ML1.3,4 km NW Muccia (MC)
18091881,2018-01-22T061649.79,43.0923,13.0923,10.8,ML0.7,3 km N Pievebovigliana (MC)
18092081,2018-01-22T065255.36,42.8853,12.9898,10.9,ML0.9,4 km W Preci (PG)
18092201,2018-01-22T072318.62,42.7757,13.1898,12.9,ML1.0,8 km E Norcia (PG)
18092301,2018-01-22T073528.52,42.868,13.0778,12.8,ML1.1,3 km E Preci (PG)
18092351,2018-01-22T074702.95,42.754,13.2692,11.4,ML1.5,3 km SW Arquata del Tronto (AP)
18092591,2018-01-22T085314.21,43.1898,11.0272,9.2,ML1.7,6 km NW Chiusdino (SI)
18092651,2018-01-22T090901.47,42.7112,13.0313,10.4,ML0.7,2 km SE Cascia (PG)
18092691,2018-01-22T091807.85,42.9158,12.8543,11.5,ML1.1,7 km W Sellano (PG)
18092791,2018-01-22T095708.22,43.3007,12.6028,10,ML0.7,6 km SE Gubbio (PG)
18092921,2018-01-22T103702.67,43.0178,13.0253,8.2,ML1.1,3 km NE Monte Cavallo (MC)
18093011,2018-01-22T105526.74,44.3638,10.928,31.1,ML1.8,6 km W Zocca (MO)
